Timestamp;SelectionTime;IntendedDigit;EnteredDigit;correct;counterThreshold
25.9482071;3.670531;9;9;True;20
30.3228128;3.8853071;9;9;True;20
34.8688722;4.0532522;3;3;True;20
38.8714994;3.5098109;1;1;True;20
49.9210777;4.9280732;3;3;True;20
52.0477194;1.6388475;4;3;False;20
56.806845;4.2653151;4;4;True;20
59.1605886;1.8609367;3;3;True;20
84.2637385;3.9178935;5;5;True;20
88.4508462;3.6953031;1;1;True;20
94.6542491;5.7095925;0;0;True;20
98.4478227;3.2932465;3;3;True;20
108.224464;3.5057992;2;2;True;20
112.163915;3.4386221;5;5;True;20
114.9167176;2.2589924;3;3;True;20
119.0792601;3.6627164;6;3;False;20
130.1366009;1.4257823;6;3;False;20
140.7487548;10.1188452;6;-1;False;20
146.1471063;4.9060469;0;0;True;20
149.504986;2.8575526;6;6;True;20
